Continent,Country / Territory / Area,Confirmed cases,Deaths,Comments
Asia,China,59865,1368,Including 48206 cases from Hubei povince
Asia,Singapore,50,0,
Asia,Thailand,33,0,
Asia,Japan,29,0,
Asia,Republic of Korea,28,0,
Asia,Taiwan,18,0,
Asia,Malaysia,18,0,
Asia,Vietnam,16,0,
Asia,United Arab Emirates,8,0,
Asia,India,3,0,
Asia,Philippines,3,1,
Asia,Nepal,1,0,
Asia,Sri Lanka,1,0,
Asia,Cambodia,1,0,
Other,Cases on an international conveyance Japan,174,0,
Europe,Germany,16,0,
Europe,France,11,0,
Europe,United Kingdom,9,0,
Europe,Italy,3,0,
Europe,Spain,2,0,
Europe,Russia,2,0,
Europe,Sweden,1,0,
Europe,Finland,1,0,
Europe,Belgium,1,0,
America,United States of America,14,0,
America,Canada,7,0,
Oceania,Australia,15,0,
*Total*,,*60 330*,*1 369*,
